"Speaker","Word","Iter","Vowel","Phonation","Tone","Duration","h1c","h2c","h4c","a1c","a2c","a3c","h1h2c","h2h4c","h1a1c","h1a2c","h1a3c","h42Kc","h2Kh5Kc","cpp","energy","hnr05","hnr15","hnr25","hnr35","shr","soe","f0","f1","f2"
"m5","pyine",3,"i","modal","M",70,3.3425,2.399,-0.1925,2.3215,-15.56325,-8.7905,0.94375,2.59125,1.021,18.906,12.13275,10.058,20.53,15.44875,-0.370080964496458,20.73625,38.004,42.493,43.797,0.28425,0.052,140.823,280.843,2248.13475
"m5","tsil",1,"i","modal","F",100,-2.072,-5.10225,-5.60875,-5.623,-10.38425,-19.0315,3.0305,0.50625,3.551,8.31225,16.95975,15.3295,4.18,16.59575,-0.676747899828313,26.66525,42.5765,43.11525,43.11025,0.2425,0.01975,160.50925,320.74275,2096.5875
"m5","tsil",2,"i","modal","F",98,-3.99875,-0.60075,-1.9975,-0.73875,-9.93275,-14.234,-3.398,1.397,-3.26,5.934,10.2355,15.63525,8.4045,15.134,-0.385102783966865,27.359,41.97975,42.82075,42.08775,0.12675,0.0245,154.9645,312.80125,2069.2705
"m5","tsil",3,"i","modal","F",99,-0.177,-1.50275,-3.6435,-1.758,-10.48275,-9.309,1.32575,2.14125,1.581,10.30575,9.13175,7.316,17.1115,14.57375,-0.593459819566045,25.1105,40.9205,41.862,42.4765,0.287,0.05925,147.05875,293.44525,2179.1405
"m5","xhidw",1,"i","modal","R",93,2.369,-0.48125,-0.07675,-0.72725,-11.87725,-18.55875,2.85,-0.40425,3.096,14.246,20.92725,19.1225,13.97025,19.083,-0.58922276662279,27.78025,43.1235,43.6005,45.17025,0.30025,0.0705,146.785,288.96525,2094.739
"m5","xhidw",2,"i","modal","R",103,2.18025,0.94475,0.9185,0.77325,-11.2365,-12.10125,1.2355,0.02625,1.407,13.41675,14.281,21.58425,9.7195,21.3355,-0.412289034981089,29.8615,44.6995,45.1575,44.75875,0.287,0.04425,142.2465,285.319,2026.93625
"m5","xhidw",3,"i","modal","R",111,-0.836,-7.66975,-7.24375,-9.323,-21.08875,-18.6515,6.834,-0.42575,8.48675,20.25225,17.8155,16.3565,13.99725,16.24725,-1.32330639037513,24.60525,40.20975,43.03375,44.12275,0.301,0.0355,140.87925,285.3345,2180.814
"m5","xsil",1,"i","modal","L",66,2.01625,0.5945,-1.42125,0.55875,-13.2055,-16.2575,1.4215,2.01575,1.457,15.22125,18.27325,14.7935,16.9095,16.22425,-0.443697499232713,17.73,37.08275,40.11825,41.35375,0.26275,0.056,142.978,287.00375,2147.70775
"m5","xsil",2,"i","modal","L",69,3.6335,0.60675,-0.5065,0.398,-12.918,-14.7085,3.02675,1.113,3.2355,16.5515,18.342,16.17925,10.40025,20.08275,-0.516412703031106,26.5895,46.23125,47.53275,46.8145,0.41575,0.06725,140.41575,286.5705,2123.60425
"m5","xsil",3,"i","modal","L",36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.94596178931513,0,0,0,0,0.296,0.06425,177.84725,291.58625,2303.4525
"m5","xtilh",1,"i","modal","F",90,-3.8005,-7.135,-7.28,-7.3395,-16.39825,-24.63675,3.33425,0.14475,3.539,12.5975,20.836,17.8745,10.407,18.00875,-0.883558302460688,34.93,49.7105,48.42225,50.28725,0.28975,0.034,164.708,328.06325,1972.99225
"m5","xtilh",2,"i","modal","F",130,-3.82675,-8.94625,-9.8875,-9.209,-18.56375,-29.798,5.11925,0.941,5.38225,14.737,25.9715,13.9605,13.3185,16.305,-1.32330639037513,30.904,47.62325,49.27925,51.06675,0.51825,0.0695,150.65675,295.788,2208.37225
