"idnum","percent","Speaker","Word","Iter","Vowel","Phonation","Tone","Duration","F0","F1","F2","F3","F4","Energy"
1002,"03","f8","da7abep",2,"e","modal","L",106,150.959,319.743,1873.859,3020.464,3904.633,0.102
1002,"04","f8","da7abep",2,"e","modal","L",106,149.848,328.472,1954.13,3048.13,3938.269,0.093
1002,"05","f8","da7abep",2,"e","modal","L",106,148.762,284.187,1975.308,3054.016,3985.969,0.081
1002,"06","f8","da7abep",2,"e","modal","L",106,145.668,286.53,1966.449,3099.682,4008.252,0.074
1002,"07","f8","da7abep",2,"e","modal","L",106,144.584,251.231,1960.592,3120.95,3986.648,0.065
1002,"08","f8","da7abep",2,"e","modal","L",106,143.988,221.505,1962.31,3114.056,3968.91,0.055
1002,"09","f8","da7abep",2,"e","modal","L",106,144.378,181.077,1946.652,3055.924,3856.39,0.046
1002,"10","f8","da7abep",2,"e","modal","L",106,147.508,181.077,1946.652,3055.924,3856.39,0.046
1003,"01","f8","da7abep",3,"a","rearticulated","L",93,166.311,359.25,1837.471,3031.952,3746.058,0.049
1003,"02","f8","da7abep",3,"a","rearticulated","L",93,164.66,258.245,1905.848,2783.653,3511.416,0.057
1003,"03","f8","da7abep",3,"a","rearticulated","L",93,161.995,266.405,1899.98,2983.314,3579.519,0.052
1003,"04","f8","da7abep",3,"a","rearticulated","L",93,158.03,311.019,1873.675,2908.099,3616.468,0.051
1003,"05","f8","da7abep",3,"a","rearticulated","L",93,156.029,347.784,1817.162,2904.412,3584.631,0.048
1003,"06","f8","da7abep",3,"a","rearticulated","L",93,155.394,407.049,1813.96,3187.053,3889.796,0.047
1003,"07","f8","da7abep",3,"a","rearticulated","L",93,154.802,429.484,1813.998,3216.232,4001.933,0.047
1003,"08","f8","da7abep",3,"a","rearticulated","L",93,153.945,415.407,1796.965,3160.707,3759.613,0.046
1003,"09","f8","da7abep",3,"a","rearticulated","L",93,151.484,435.161,1776.803,3043.953,4060.889,0.046
1003,"10","f8","da7abep",3,"a","rearticulated","L",93,147.965,435.161,1776.803,3043.953,4060.889,0.046
1004,"01","f8","da7abep",3,"e","modal","L",86,159.837,221.105,1854.518,2980.487,3959.939,0.042
1004,"02","f8","da7abep",3,"e","modal","L",86,147.975,339.544,1683.54,2660.886,4102.498,0.042
1004,"03","f8","da7abep",3,"e","modal","L",86,146.004,302.213,1743.627,2871.911,4091.364,0.043
1004,"04","f8","da7abep",3,"e","modal","L",86,146.14,245.477,1790.407,3042.263,4052.615,0.043
1004,"05","f8","da7abep",3,"e","modal","L",86,144.499,214.559,1854.869,3105.028,4037.303,0.044
1004,"06","f8","da7abep",3,"e","modal","L",86,142.92,198.254,1880.144,3002.383,3924.765,0.044
1004,"07","f8","da7abep",3,"e","modal","L",86,147.66,172.752,1899.422,2985.297,3793.569,0.04
1004,"08","f8","da7abep",3,"e","modal","L",86,147.515,156.155,1987.33,3041.447,3833.782,0.036
1004,"09","f8","da7abep",3,"e","modal","L",86,142.282,151.36,1996.707,3048.672,3849.124,0.035
1004,"10","f8","da7abep",3,"e","modal","L",86,141.549,151.36,1996.707,3048.672,3849.124,0.035
