"Vowel","f1","f2"
"a",521.336945652174,1669.17140398551
"e",388.367402777778,2292.13020138889
"i",310.044871929825,2433.07312807018
"o",372.529959459459,1218.51618918919
"u",348.638544642857,1642.22965625
