"Vowel","f1","f2"
"a",582.866461685824,1405.70540996169
"e",405.066003836317,1906.63355370844
"i",292.769826612903,2191.07931451613
"o",407.839933333333,1399.24938333333
"u",326.286631067961,1682.81704854369
