"Vowel","f1","f2"
"a",551.242352886406,1541.11809962756
"e",397.061348202397,2091.42555525965
"i",302.006952157599,2320.47563133208
"o",388.340395522388,1299.4415
"u",337.930418604651,1661.67384883721
