"Speaker","Word","Iter","Vowel","Phonation","Tone","Duration","h1c","h2c","h4c","a1c","a2c","a3c","h1h2c","h2h4c","h1a1c","h1a2c","h1a3c","h42Kc","h2Kh5Kc","cpp","energy","hnr05","hnr15","hnr25","hnr35","shr","soe","f0","f1","f2","h1cz","h2cz","h4cz","a1cz","a2cz","a3cz","h1h2cz","h2h4cz","h42Kcz","h2Kh5Kcz","h1a1cz","h1a2cz","h1a3cz","energyz","hnr05z","hnr15z","hnr25z","hnr35z","cppz","shrz","durationz","norm.soe","H1c_resid"
"m1","blull",1,"u","modal","L",136,12.6935,5.4235,-1.976,-8.33,-17.1005,-5.768,7.27,7.3995,21.0235,29.794,18.461,-1.7445,32.8775,16.1265,-0.230622673923862,18.967,31.7275,36.5995,39.058,0,0.0375,123.64,323.752,1285.2725,0.430555404449433,-0.200679822369832,-0.380239325855419,-0.27187999513593,-1.09017661343103,0.328414852989665,0.726664749086647,0.171436572287469,-1.06073979263912,1.68487641810513,0.435028598906915,1.19536601213388,-0.061889792022312,-0.446723474219683,-0.605871519101813,-0.222180768007818,-0.00895525448004572,0.201369661866698,-0.7026805884317,-0.818758642787459,0.385470155052893,0.521917823800066,0.71149049325295
"m1","blull",2,"u","modal","L",127,11.159,3.7045,-3.1225,-10.774,-18.302,-6,7.4545,6.827,21.933,29.4615,17.159,-0.6415,30.059,20.3555,-0.462180904926726,32.1545,45.169,46.353,45.6335,0,0.0455,129.9115,350.0235,1326.4065,-0.00464594681749922,-0.639754364684688,-0.624635586238295,-0.618002915319057,-1.27017307138741,0.289372962955561,0.784860045074135,0.0730979460679641,-0.916510344545613,1.3218191762837,0.550116487407412,1.15017534158149,-0.247571107730167,-1.31689732840687,0.853268916689089,0.858602444258071,0.805636500906004,0.794160037333569,0.0682713938140053,-0.818758642787459,0.188874279979791,0.606442684462495,0.82352335533823
"m1","blull",3,"u","modal","L",114,13.6865,7.3825,-3.2365,-3.0525,-18.818,-3.1175,6.304,10.619,16.7395,32.504,16.8045,-3.745,31.6875,20.175,-0.121478204498793,29.7825,41.8635,44.486,43.396,0,0.0435,122.684,330.7175,1321.3495,0.71218130331425,0.299696575765598,-0.6489366535594,0.475527415365893,-1.34747492099664,0.774451618228427,0.421967427005816,0.724451781219691,-1.32232729119856,1.53158987641008,-0.107067623562715,1.56368696610979,-0.298127195609149,-0.0365689173658948,0.590817268257163,0.592818944786666,0.649708597352843,0.592446332656035,0.0353660183599148,-0.818758642787459,-0.0950975395702447,0.586759985446176,0.735178733806528
"m1","bsuh",1,"u","breathy","F",154,12.142,3.8525,1.689,3.183,-13.251,-0.728,8.289,2.1645,8.959,25.393,12.8695,-5.3925,31.897,16.9975,0.17868923977559,27.404,37.771,42.9635,42.492,0.644,0.056,168.6545,330.0835,1212.801,0.274143840276273,-0.601951553595334,0.401018671792413,1.35860821274801,-0.513483841976122,1.17656625717882,1.04807941906632,-0.727782132095255,-1.53775613592571,1.5585760364816,-1.09161002760682,0.597218219348651,-0.859306901684734,1.09143184837897,0.327646422643615,0.263755574165965,0.522552607444065,0.510949488397492,-0.543896200506419,1.40784546768022,0.778661905199097,0.697595829284903,-0.412234917372238
"m1","bsuh",2,"u","breathy","F",145,11.2255,4.4245,4.625,4.088,-10.632,-13.177,6.801,-0.2,7.1375,21.8575,24.403,4.0635,25.2155,16.8175,0.192846115188842,23.356,35.414,40.836,41.851,0.539,0.051,169.09,333.4095,2673.963,0.0142141964599537,-0.455848797222968,1.02687773893949,1.48677566068816,-0.121132012273458,-0.918401367970149,0.578731991264794,-1.13393354117127,-0.301279561880202,0.697917189140862,-1.32210215394399,0.116702081790784,0.785512956008469,1.1446320425083,-0.120247452926551,0.0742375864926624,0.34486829313804,0.453162456130095,-0.576710425335984,1.04481218879962,0.582066030125995,0.656492736084132,-0.705621055249442
"m1","duh",1,"u","breathy","L",230,11.6055,7.368,-1.8395,-3.916,-18.4985,-15.431,4.2375,9.207,15.521,30.1045,27.0365,5.398,24.5435,20.8815,-0.209363038068297,24.499,38.377,45.5335,47.108,0,0.0395,125.077,339.485,2564.405,0.121986443759682,0.295992921976438,-0.351141995247253,0.353237259237362,-1.29961069434906,-1.29771352373252,-0.229851430219895,0.48191179829927,-0.126778928624731,0.611355377360128,-0.261256290014452,1.2375666232813,1.16108265256503,-0.36683178049352,0.00622060531868143,0.312481879015359,0.737193588767914,0.927088241823859,0.164161850815954,-0.818758642787459,2.43880485026085,0.544591493743537,0.352679310323081
"m1","duh",2,"u","breathy","L",189,12.806,8.064,-0.588,-2.9055,-18.0675,-15.861,4.742,8.6525,15.712,30.8735,28.667,5.5245,25.2895,19.273,-0.139661993429006,21.799,37.1695,44.203,45.356,0,0.045,122.348,331.978,2662.949,0.462461661873695,0.4737683038561,-0.0843631728580953,0.496345774313078,-1.23504267655531,-1.37007564750263,-0.0707212035224011,0.386665041550421,-0.110237654659337,0.707449293414336,-0.237087200730676,1.34208279066414,1.39361213433281,-0.104901870284912,-0.292522839355096,0.215391098312978,0.62607303403975,0.769143030384735,-0.129069708286013,-0.818758642787459,1.54320141937227,0.601602536829405,0.528432263252153
"m1","duh",3,"u","breathy","L",211,11.691,6.9135,-3.5865,-4.207,-23.6165,-7.564,4.7775,10.4995,15.898,35.3075,19.255,-5.892,34.5895,21.223,-0.203078924669831,22.976,38.392,44.9415,46.4345,0,0.0405,125.1615,343.8255,1075.4315,0.146235199402121,0.179902532516227,-0.723545193580339,0.312025405811302,-2.06633717942666,0.0261767732428941,-0.0595237346467598,0.703925203345052,-1.60307128490369,1.90540293859415,-0.213550810119249,1.94471567255682,0.0513444358363961,-0.343216678787097,-0.162292826621379,0.313687975670047,0.68775099696102,0.866371289823716,0.226417727367599,-0.818758642787459,2.02376911399541,0.555511774038792,0.362077020345886
"m1","llume",1,"u","modal","M",60,15.19,5.7605,4.095,-0.144,-14.111,1.6425,9.4295,1.665,15.334,29.3015,13.5475,-2.4755,34.1785,16.0135,0.122707254318348,27.09,36.075,39.9725,38.9765,0,0.068,150.1275,340.097,1211.008,1.13859070809094,-0.114601799821777,0.913899092622068,0.887433517392336,-0.642320257991507,1.57548349996263,1.40781782054995,-0.813581509905985,-1.15632612677906,1.85246111621039,-0.284919220360349,1.12842945499988,-0.7626157096341,0.881056860457352,0.292903666485258,0.127386245742579,0.272750593771058,0.194022324690734,-0.723280629574704,-0.818758642787459,-1.27467279000886,0.783133034743918,0.584512398761236
"m1","llume",2,"u","modal","M",50,13.465,5.141,5.63,0.361,-9.7,-10.816,8.323,-0.489,13.104,23.165,24.281,7.372,25.544,0,0.0326187608507199,0,0,0,0,0,0.0635,153.2555,343.3675,2678.569,0.649361427585592,-0.272837215158632,1.24111083242819,0.958952369557834,0.018490708338563,-0.521082823269633,1.05880375545426,-1.18357522322793,0.131343401870811,0.740232003381891,-0.567102828228527,0.294406748699824,0.768114245934461,0.54251285258888,-2.70448889507497,-2.77327620878199,-3.06566832683886,-3.31976279725961,-3.64256168128707,-0.818758642787459,-1.49311265120119,0.752938946429074,0.308186393778983
